World,Depth,WMDP,Algorithm,Action,Expanded States
0,1,WorldMDP,Alpha-Beta,Stay,2
0,1,WorldMDP,Minimax,Stay,2
0,1,BetterValueFunction,Alpha-Beta,Stay,2
0,2,WorldMDP,Alpha-Beta,Stay,16
0,2,WorldMDP,Minimax,Stay,33
0,2,BetterValueFunction,Alpha-Beta,Stay,16
0,3,WorldMDP,Alpha-Beta,Stay,31
0,3,WorldMDP,Minimax,Stay,124
0,3,BetterValueFunction,Alpha-Beta,Stay,31
0,4,WorldMDP,Alpha-Beta,Stay,195
0,4,WorldMDP,Minimax,Stay,1631
0,4,BetterValueFunction,Alpha-Beta,Stay,195
0,5,WorldMDP,Alpha-Beta,Stay,438
0,5,WorldMDP,Minimax,Stay,6162
0,5,BetterValueFunction,Alpha-Beta,Stay,330
0,6,WorldMDP,Alpha-Beta,Stay,2699
0,6,WorldMDP,Minimax,Stay,84686
0,6,BetterValueFunction,Alpha-Beta,Stay,2699
0,7,WorldMDP,Alpha-Beta,Stay,5276
0,7,WorldMDP,Minimax,Stay,327701
0,7,BetterValueFunction,Alpha-Beta,Stay,4474
0,8,WorldMDP,Alpha-Beta,Stay,34084
0,8,WorldMDP,Minimax,Stay,4646185
0,8,BetterValueFunction,Alpha-Beta,Stay,34493
0,9,WorldMDP,Alpha-Beta,Stay,70585
0,9,WorldMDP,Minimax,Stay,18026586
0,9,BetterValueFunction,Alpha-Beta,Stay,56819
1,1,WorldMDP,Alpha-Beta,Stay,2
1,1,WorldMDP,Minimax,Stay,2
1,1,BetterValueFunction,Alpha-Beta,Stay,2
1,2,WorldMDP,Alpha-Beta,Stay,16
1,2,WorldMDP,Minimax,Stay,33
1,2,BetterValueFunction,Alpha-Beta,Stay,16
1,3,WorldMDP,Alpha-Beta,Stay,30
1,3,WorldMDP,Minimax,Stay,109
1,3,BetterValueFunction,Alpha-Beta,Stay,30
1,4,WorldMDP,Alpha-Beta,Stay,179
1,4,WorldMDP,Minimax,Stay,1230
1,4,BetterValueFunction,Alpha-Beta,Stay,179
1,5,WorldMDP,Alpha-Beta,Stay,545
1,5,WorldMDP,Minimax,Stay,4184
1,5,BetterValueFunction,Alpha-Beta,Stay,305
1,6,WorldMDP,Alpha-Beta,Stay,3114
1,6,WorldMDP,Minimax,Stay,49592
1,6,BetterValueFunction,Alpha-Beta,Stay,3977
1,7,WorldMDP,Alpha-Beta,Stay,6913
1,7,WorldMDP,Minimax,Stay,174241
1,7,BetterValueFunction,Alpha-Beta,Stay,6866
1,8,WorldMDP,Alpha-Beta,Stay,42048
1,8,WorldMDP,Minimax,Stay,2134860
1,8,BetterValueFunction,Alpha-Beta,Stay,54455
1,9,WorldMDP,Alpha-Beta,Stay,107503
1,9,WorldMDP,Minimax,Stay,7634165
1,9,BetterValueFunction,Alpha-Beta,Stay,94257
2,1,WorldMDP,Alpha-Beta,Stay,3
2,1,WorldMDP,Minimax,Stay,3
2,1,BetterValueFunction,Alpha-Beta,Stay,3
2,2,WorldMDP,Alpha-Beta,Stay,16
2,2,WorldMDP,Minimax,Stay,40
2,2,BetterValueFunction,Alpha-Beta,Stay,16
2,3,WorldMDP,Alpha-Beta,Stay,33
2,3,WorldMDP,Minimax,Stay,140
2,3,BetterValueFunction,Alpha-Beta,Stay,33
2,4,WorldMDP,Alpha-Beta,Stay,176
2,4,WorldMDP,Minimax,Stay,1768
2,4,BetterValueFunction,Alpha-Beta,Stay,176
2,5,WorldMDP,Alpha-Beta,Stay,303
2,5,WorldMDP,Minimax,Stay,5873
2,5,BetterValueFunction,Alpha-Beta,Stay,303
2,6,WorldMDP,Alpha-Beta,Stay,2175
2,6,WorldMDP,Minimax,Stay,79544
2,6,BetterValueFunction,Alpha-Beta,Stay,2175
2,7,WorldMDP,Alpha-Beta,Stay,3670
2,7,WorldMDP,Minimax,Stay,274006
2,7,BetterValueFunction,Alpha-Beta,Stay,3670
2,8,WorldMDP,Alpha-Beta,Stay,31391
2,8,WorldMDP,Minimax,Stay,3788576
2,8,BetterValueFunction,Alpha-Beta,Stay,31391
2,9,WorldMDP,Alpha-Beta,Stay,52807
2,9,WorldMDP,Minimax,Stay,13315229
2,9,BetterValueFunction,Alpha-Beta,Stay,52807
