World,Depth,WMDP,Algorithm,Action,Expanded States
0,5,WorldMDP,Alpha-Beta,Stay,438
0,5,BetterValueFunction,Alpha-Beta,Stay,330
0,6,WorldMDP,Alpha-Beta,Stay,2699
0,6,BetterValueFunction,Alpha-Beta,Stay,2699
0,7,WorldMDP,Alpha-Beta,Stay,5276
0,7,BetterValueFunction,Alpha-Beta,Stay,4474
1,5,WorldMDP,Alpha-Beta,Stay,545
1,5,BetterValueFunction,Alpha-Beta,Stay,305
1,6,WorldMDP,Alpha-Beta,Stay,3114
1,6,BetterValueFunction,Alpha-Beta,Stay,3977
1,7,WorldMDP,Alpha-Beta,Stay,6913
1,7,BetterValueFunction,Alpha-Beta,Stay,6866
2,5,WorldMDP,Alpha-Beta,Stay,303
2,5,BetterValueFunction,Alpha-Beta,Stay,303
2,6,WorldMDP,Alpha-Beta,Stay,2175
2,6,BetterValueFunction,Alpha-Beta,Stay,2175
2,7,WorldMDP,Alpha-Beta,Stay,3670
2,7,BetterValueFunction,Alpha-Beta,Stay,3670
